PartitionKey,RowKey,purpose,purpose@type,request_id,request_id@type,provider,provider@type,model_name,model_name@type,model_tier,model_tier@type,job_id,job_id@type,repo_name,repo_name@type,budget_completion_tokens,budget_completion_tokens@type,prompt_tokens_estimated,prompt_tokens_estimated@type,prompt_tokens,prompt_tokens@type,completion_tokens,completion_tokens@type,total_tokens,total_tokens@type,finish_reason,finish_reason@type,was_truncated,was_truncated@type,status,status@type,error,error@type,error_details,error_details@type,created_at,created_at@type,updated_at,updated_at@type
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.007306_00-00|repo-micro-1772818191,get_repo_micro_summary,String,repo-micro-1772818191,String,openai,String,gpt-5-nano,String,default,String,e6308897-f102-43bb-996d-eba2756dd485,String,AirBnB_clone_v2,String,2000,Int32,1183,Int32,1418,Int32,2000,Int32,3418,Int32,length,String,true,Boolean,failed,String,response_truncated,String,"[{""timestamp"":""2026-03-06T17:30:13.191738+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",String,2026-03-06T17-29-52.007306_00-00,String,2026-03-06T17-30-13.191779_00-00,String
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.008974_00-00|repo-micro-1772818191,get_repo_micro_summary,,repo-micro-1772818191,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,AirBnB_clone,,2000,,883,,932,,2000,,2932,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:13.066143+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-29-52.008974_00-00,,2026-03-06T17-30-13.066210_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.009263_00-00|repo-micro-1772818191,get_repo_micro_summary,,repo-micro-1772818191,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-low_level_programming,,2000,,1291,,1300,,1819,,3119,,stop,,false,,completed,,,,,,2026-03-06T17-29-52.009263_00-00,,2026-03-06T17-30-10.723638_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.009489_00-00|repo-micro-1772818191,get_repo_micro_summary,,repo-micro-1772818191,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-higher_level_programming,,2000,,1302,,1355,,2000,,3355,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:12.346927+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-29-52.009489_00-00,,2026-03-06T17-30-12.346967_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.010039_00-00|repo-micro-1772818191,get_repo_micro_summary,,repo-micro-1772818191,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-zero_day,,2000,,254,,252,,1755,,2007,,stop,,false,,completed,,,,,,2026-03-06T17-29-52.010039_00-00,,2026-03-06T17-30-10.991805_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.010344_00-00|repo-micro-1772818192,get_repo_micro_summary,,repo-micro-1772818192,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-interview,,2000,,241,,242,,1904,,2146,,stop,,false,,completed,,,,,,2026-03-06T17-29-52.010344_00-00,,2026-03-06T17-30-15.297143_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.014925_00-00|repo-micro-1772818192,get_repo_micro_summary,,repo-micro-1772818192,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-files_manager,,2000,,1436,,1413,,2000,,3413,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:11.603846+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-29-52.014925_00-00,,2026-03-06T17-30-11.603870_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.015502_00-00|repo-micro-1772818192,get_repo_micro_summary,,repo-micro-1772818192,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-backend-storage,,2000,,1321,,1349,,2000,,3349,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:12.502163+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-29-52.015502_00-00,,2026-03-06T17-30-12.502239_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.015721_00-00|repo-micro-1772818192,get_repo_micro_summary,,repo-micro-1772818192,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,AirBnB_clone_v4,,2000,,1320,,1423,,2000,,3423,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:13.133193+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-29-52.015721_00-00,,2026-03-06T17-30-13.133217_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.015973_00-00|repo-micro-1772818192,get_repo_micro_summary,,repo-micro-1772818192,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,authentication-FA,,2000,,1332,,1232,,2000,,3232,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:16.068143+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-29-52.015973_00-00,,2026-03-06T17-30-16.068185_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.016284_00-00|repo-micro-1772818192,get_repo_micro_summary,,repo-micro-1772818192,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,AirBnB_clone_v3,,2000,,1467,,1709,,2000,,3709,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:12.542634+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-29-52.016284_00-00,,2026-03-06T17-30-12.542673_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.022149_00-00|repo-micro-1772818192,get_repo_micro_summary,,repo-micro-1772818192,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-backend-python,,2000,,1345,,1318,,1675,,2993,,stop,,false,,completed,,,,,,2026-03-06T17-29-52.022149_00-00,,2026-03-06T17-30-08.747817_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.033494_00-00|repo-micro-1772818192,get_repo_micro_summary,,repo-micro-1772818192,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-backend,,2000,,1474,,1548,,2000,,3548,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:12.594092+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-29-52.033494_00-00,,2026-03-06T17-30-12.594109_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.034120_00-00|repo-micro-1772818192,get_repo_micro_summary,,repo-micro-1772818192,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-backend-user-data,,2000,,1519,,1395,,2000,,3395,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:16.124405+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-29-52.034120_00-00,,2026-03-06T17-30-16.124449_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.070468_00-00|repo-micro-1772818192,get_repo_micro_summary,,repo-micro-1772818192,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-system_engineering-devops,,2000,,1301,,1274,,2000,,3274,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:11.614760+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-29-52.070468_00-00,,2026-03-06T17-30-11.614782_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-29-52.509390_00-00|repo-micro-1772818192,get_repo_micro_summary,,repo-micro-1772818192,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-backend-javascript,,2000,,1554,,1654,,2000,,3654,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:12.444990+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-29-52.509390_00-00,,2026-03-06T17-30-12.445031_00-00,
